fold,rmse,mae,mape,r2,corr,std_ratio,epochs,seconds
0,1.69405997279812,1.3247907161712646,3.2493953704833984,0.05724692344665527,0.3616098089995459,0.5983340740203857,15,31.3
1,1.5614050270975912,1.2643768787384033,3.1237287521362305,0.1627119779586792,0.42613362911445357,0.5609927177429199,48,90.1
2,1.7054981880950026,1.3080377578735352,3.1970176696777344,0.19009500741958618,0.480710597756127,0.4979230761528015,44,82.2
3,1.7606688625409146,1.4344444274902344,3.6337337493896484,0.05409049987792969,0.38853354787748756,0.5321311950683594,29,54.9
4,1.7262331963563076,1.4319034814834595,3.5944149494171143,0.24855905771255493,0.526307107346555,0.38562193512916565,13,25.4
