fold,rmse,mae,mape,r2,corr,std_ratio,epochs,seconds
0,1.7008295952124903,1.320390224456787,3.250563621520996,0.04969722032546997,0.23914846393531425,0.3179061710834503,13,958.0
1,1.560903801998191,1.2749440670013428,3.1542367935180664,0.1632494330406189,0.4084235843107025,0.46351557970046997,34,157.9
2,1.7667969046876726,1.3601642847061157,3.3128955364227295,0.13082987070083618,0.4451600735719304,0.41332265734672546,21,96.1
3,1.7974841204964482,1.468697190284729,3.7358555793762207,0.014119386672973633,0.3548365687573765,0.39562878012657166,22,96.4
4,1.7215547045664332,1.4331930875778198,3.592832088470459,0.2526266574859619,0.5300799726741844,0.38361865282058716,32,139.4
