config,rmse,mae,mape,r2,corr,std_ratio,epochs,seconds
01-unscaled-target,1.7184767072318263,1.3350889682769775,3.2793350219726562,0.029874980449676514,0.20525516771371305,0.2465597689151764,13,65.44558501243591
02-scaled-target,1.6885794260210467,1.3377103805541992,3.2874903678894043,0.06333696842193604,0.3169645690613594,0.501455545425415,7,34.74584770202637
03-mean-pooling,1.7203884984552371,1.3496277332305908,3.314258098602295,0.02771526575088501,0.2570228341675685,0.440812349319458,11,56.153915882110596
04-spread-features,1.6957621175948012,1.3255088329315186,3.2538466453552246,0.055351436138153076,0.34184337863413095,0.5628043413162231,12,75.82350611686707
05-regularised,1.6819865261994242,1.3137750625610352,3.2283811569213867,0.07063692808151245,0.3397015250965873,0.5415723919868469,14,28.402894020080566
