fold,band,n,rmse,mae,mape,r2,corr,std_ratio
0,"(0, 50]",2417,2.8618640176496117,2.7948765754699707,6.393896102905273,-28.443073272705078,-0.024944613020076695,0.5774123072624207
0,"(50, 100]",6242,1.445565526310355,1.1786161661148071,2.8094747066497803,-0.5224051475524902,0.23958417008574673,0.4848041534423828
0,"(100, 150]",9730,1.0902294173857465,0.8468030095100403,2.1288671493530273,-0.14244890213012695,0.31808790548275223,0.4981977641582489
0,"(150, 200]",3874,2.2720422822214705,1.8183571100234985,4.81740665435791,-1.198375940322876,0.004910839077679823,0.3959219753742218
1,"(0, 50]",1158,2.9006334402252936,2.8291947841644287,6.460323333740234,-61.665706634521484,-0.17554884466214946,1.2665150165557861
1,"(50, 100]",6205,1.6295116589372869,1.4116637706756592,3.363611936569214,-0.8107491731643677,0.38551278945918477,0.6115511655807495
1,"(100, 150]",9555,1.2669402929115947,1.0023384094238281,2.5351319313049316,-0.14487218856811523,0.374676028985059,0.6291196346282959
1,"(150, 200]",4792,1.5576725199566501,1.2815431356430054,3.3470537662506104,-1.3262054920196533,0.38442942006252206,0.7819372415542603
1,"(200, 300]",393,1.304576389355588,1.0839985609054565,2.8080427646636963,-2.2211689949035645,0.12150535377232133,0.8400254845619202
2,"(0, 50]",2418,3.0465131495868305,2.8992106914520264,6.562891006469727,-15.515823364257812,-0.35924196681724446,0.5634924173355103
2,"(50, 100]",4817,1.6679368027211654,1.4467620849609375,3.4363820552825928,-0.9394000768661499,0.49269300261765553,0.6588174104690552
2,"(100, 150]",9679,1.3008822381851988,1.0221409797668457,2.4792611598968506,-0.06677734851837158,0.3074484239447763,0.6054599285125732
2,"(150, 200]",5434,1.7760446348939258,1.172300934791565,3.1530895233154297,-0.11079776287078857,0.4330459913483557,0.4563136100769043
2,"(200, 300]",242,2.182685895346126,1.9966200590133667,5.312116622924805,-1.6045522689819336,0.36506309824510313,0.4269566535949707
3,"(0, 50]",2313,2.049586007719498,1.9397976398468018,4.524644374847412,-9.15058708190918,0.40830177838757653,1.0533289909362793
3,"(50, 100]",3246,1.397173048817934,1.1741175651550293,2.7990992069244385,-2.062802314758301,0.29000543356705333,0.8786899447441101
3,"(100, 150]",9659,1.0802753399501306,0.8889110684394836,2.227875232696533,-0.8486675024032593,0.2344385021986895,0.8227500915527344
3,"(150, 200]",5616,2.4878397838915833,2.1891605854034424,5.816305637359619,-2.8787717819213867,0.3349922480081728,0.5654512643814087
3,"(200, 300]",1293,2.6972658017853854,2.5673699378967285,6.905240535736084,-14.60833740234375,0.13423291342617194,0.8307676315307617
4,"(0, 50]",3554,2.200597300508184,2.097155809402466,4.859946250915527,-10.108877182006836,0.2682306566448677,0.8223807215690613
4,"(50, 100]",4206,1.4375797747162053,1.2255593538284302,2.949596643447876,-0.2754420042037964,0.4859933385125691,0.5791002511978149
4,"(100, 150]",7424,1.1541011534641876,0.898804247379303,2.260068416595459,-0.1303248405456543,0.2718202680467523,0.5926058292388916
4,"(150, 200]",6002,2.1066254957417283,1.8166331052780151,4.834456443786621,-1.51387357711792,0.5502211881641512,0.5916722416877747
4,"(200, 300]",1007,1.823124886382959,1.6114259958267212,4.232681751251221,-2.912802219390869,0.276921647553497,0.7813663482666016
